size	colour	x	y	clickSelects	key	showSelectedlegendcolour	PANEL	fill
2	#53B400	0.343454849425712	0.773298311210501	Belize	Belize	Latin America & Caribbean (all income levels)	3	#53B400
4.66983145535444	#00B6EB	0.115042230279871	0.862197290413657	Canada	Canada	North America	3	#00B6EB
5.31903600462544	#FB61D7	0.703552120198884	0.338901667940856	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#FB61D7	0.544510063616823	0.307917528757047	Central African Republic	Central African Republic	Sub-Saharan Africa (all income levels)	3	#FB61D7
2.80498447189992	#FB61D7	0.488709642399635	0.471249128250432	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#C49A00	0.116127841587598	0.869113901883611	Switzerland	Switzerland	Europe & Central Asia (all income levels)	3	#C49A00
3.9718012070186	#FB61D7	0.513678702477365	0.409157718997306	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.9718012070186	#53B400	0.179853225351195	0.824570543983512	Chile	Chile	Latin America & Caribbean (all income levels)	3	#53B400
3.9718012070186	#FB61D7	0.494246260069045	0.407761475561008	Cameroon	Cameroon	Sub-Saharan Africa (all income levels)	3	#FB61D7
19.4516474866988	#F8766D	0.141856829580737	0.737626077571015	China	China	East Asia & Pacific (all income levels)	3	#F8766D
5.11769145362398	#53B400	0.239887530668519	0.733875145966155	Colombia	Colombia	Latin America & Caribbean (all income levels)	3	#53B400
2.80498447189992	#53B400	0.215352715113881	0.839876777146361	Costa Rica	Costa Rica	Latin America & Caribbean (all income levels)	3	#53B400
3.60996894379985	#53B400	0.129806544064963	0.817466575950114	Cuba	Cuba	Latin America & Caribbean (all income levels)	3	#53B400
2	#FB61D7	0.355070890418395	0.709681827131609	Cape Verde	Cape Verde	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#C49A00	0.139359923572964	0.842258447700328	Cyprus	Cyprus	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#C49A00	0.0770458345094122	0.795691410894871	Czech Republic	Czech Republic	Europe & Central Asia (all income levels)	3	#C49A00
6.48196385527594	#C49A00	0.103100505894869	0.841789486241321	Germany	Germany	Europe & Central Asia (all income levels)	3	#C49A00
2	#00C094	0.474488134268407	0.466644641186148	Djibouti	Djibouti	Middle East & North Africa (all income levels)	3	#00C094
3.13841995766062	#C49A00	0.145439346896237	0.821001648471736	Denmark	Denmark	Europe & Central Asia (all income levels)	3	#C49A00
3.39427400463467	#53B400	0.267244935623249	0.732203758205449	Dominican Republic	Dominican Republic	Latin America & Caribbean (all income levels)	3	#53B400
4.78854800926934	#00C094	0.23793343031461	0.718655180429881	Algeria	Algeria	Middle East & North Africa (all income levels)	3	#00C094
3.8	#53B400	0.273867164600386	0.77113135963898	Ecuador	Ecuador	Latin America & Caribbean (all income levels)	3	#53B400
2.80498447189992	#C49A00	0.103100505894869	0.724777141647985	Estonia	Estonia	Europe & Central Asia (all income levels)	3	#C49A00
6.02492235949962	#00C094	0.313166293940118	0.70398512350883	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa (all income levels)	3	#00C094
2.80498447189992	#FB61D7	0.542773085524459	0.500528436716976	Eritrea	Eritrea	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.11769145362398	#C49A00	0.0868163362789587	0.85797891748418	Spain	Spain	Europe & Central Asia (all income levels)	3	#C49A00
6.02492235949962	#FB61D7	0.613337820526739	0.433297073061041	Ethiopia	Ethiopia	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#C49A00	0.141096901665328	0.834606851253293	Finland	Finland	Europe & Central Asia (all income levels)	3	#C49A00
