colour	showSelectedlegendcolour	fill	group
#00BFC4	FF	#00BFC4	776
#00BFC4	FF	#00BFC4	777
#F8766D	FC	#F8766D	778
#00BFC4	FF	#00BFC4	779
#00BFC4	FF	#00BFC4	780
#00BFC4	FF	#00BFC4	781
#F8766D	FC	#F8766D	782
#00BFC4	FF	#00BFC4	783
#F8766D	FC	#F8766D	784
#00BFC4	FF	#00BFC4	785
#00BFC4	FF	#00BFC4	786
#F8766D	FC	#F8766D	787
#F8766D	FC	#F8766D	788
#F8766D	FC	#F8766D	789
#F8766D	FC	#F8766D	790
#F8766D	FC	#F8766D	791
#F8766D	FC	#F8766D	792
#F8766D	FC	#F8766D	793
#00BFC4	FF	#00BFC4	794
#F8766D	FC	#F8766D	795
#F8766D	FC	#F8766D	796
#F8766D	FC	#F8766D	797
#F8766D	FC	#F8766D	798
#F8766D	FC	#F8766D	799
#F8766D	FC	#F8766D	800
#00BFC4	FF	#00BFC4	801
#F8766D	FC	#F8766D	802
#F8766D	FC	#F8766D	803
#F8766D	FC	#F8766D	804
