fill	x	y	tooltip	clickSelects	PANEL	xmin	xmax	ymin	ymax	colour	size
#FFFFFF	0.904040404040404	0.784090909090909	( 0 ,  Inf )	px=2; pz=3.7	15	0.853535353535353	0.954545454545454	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.904040404040404	0.897727272727273	( 0 ,  Inf )	px=2; pz=4.2	15	0.853535353535353	0.954545454545454	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.095959595959596	0.102272727272727	( 0 ,  Inf )	px=-2; pz=0.7	16	0.0454545454545455	0.146464646464646	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.095959595959596	0.215909090909091	( 0 ,  Inf )	px=-2; pz=1.2	16	0.0454545454545455	0.146464646464646	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.095959595959596	0.329545454545455	( 0 ,  Inf )	px=-2; pz=1.7	16	0.0454545454545455	0.146464646464646	0.272727272727273	0.386363636363636	#FFFFFF	0
#FFFFFF	0.095959595959596	0.443181818181818	( 0 ,  Inf )	px=-2; pz=2.2	16	0.0454545454545455	0.146464646464646	0.386363636363636	0.5	#FFFFFF	0
#FFFFFF	0.095959595959596	0.556818181818182	( 0 ,  Inf )	px=-2; pz=2.7	16	0.0454545454545455	0.146464646464646	0.5	0.613636363636364	#FFFFFF	0
#FFFFFF	0.095959595959596	0.670454545454545	( 0 ,  Inf )	px=-2; pz=3.2	16	0.0454545454545455	0.146464646464646	0.613636363636364	0.727272727272727	#FFFFFF	0
#FFFFFF	0.095959595959596	0.784090909090909	( 0 ,  Inf )	px=-2; pz=3.7	16	0.0454545454545455	0.146464646464646	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.095959595959596	0.897727272727273	( 0 ,  Inf )	px=-2; pz=4.2	16	0.0454545454545455	0.146464646464646	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.196969696969697	0.102272727272727	( 0 ,  Inf )	px=-1.5; pz=0.7	16	0.146464646464646	0.247474747474747	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.196969696969697	0.215909090909091	( 0 ,  Inf )	px=-1.5; pz=1.2	16	0.146464646464646	0.247474747474747	0.159090909090909	0.272727272727273	#FFFFFF	0
#FDFDFE	0.196969696969697	0.329545454545455	( 0 ,  Inf )	px=-1.5; pz=1.7	16	0.146464646464646	0.247474747474747	0.272727272727273	0.386363636363636	#FDFDFE	0
#FAFAFC	0.196969696969697	0.443181818181818	( 0 ,  3.93 )	px=-1.5; pz=2.2	16	0.146464646464646	0.247474747474747	0.386363636363636	0.5	#FAFAFC	0
#FBFBFD	0.196969696969697	0.556818181818182	( 0 ,  6.05 )	px=-1.5; pz=2.7	16	0.146464646464646	0.247474747474747	0.5	0.613636363636364	#FBFBFD	0
#FEFEFE	0.196969696969697	0.670454545454545	( 0 ,  Inf )	px=-1.5; pz=3.2	16	0.146464646464646	0.247474747474747	0.613636363636364	0.727272727272727	#FEFEFE	0
#FFFFFF	0.196969696969697	0.784090909090909	( 0 ,  Inf )	px=-1.5; pz=3.7	16	0.146464646464646	0.247474747474747	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.196969696969697	0.897727272727273	( 0 ,  Inf )	px=-1.5; pz=4.2	16	0.146464646464646	0.247474747474747	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.297979797979798	0.102272727272727	( 0 ,  Inf )	px=-1; pz=0.7	16	0.247474747474747	0.348484848484849	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.297979797979798	0.215909090909091	( 0 ,  Inf )	px=-1; pz=1.2	16	0.247474747474747	0.348484848484849	0.159090909090909	0.272727272727273	#FFFFFF	0
#DEC6C6	0.297979797979798	0.329545454545455	( 1.1 ,  4.59 )	px=-1; pz=1.7	16	0.247474747474747	0.348484848484849	0.272727272727273	0.386363636363636	#DEC6C6	0
#F9F4F4	0.297979797979798	0.443181818181818	( 0.77 ,  1.45 )	px=-1; pz=2.2	16	0.247474747474747	0.348484848484849	0.386363636363636	0.5	#F9F4F4	0
#EAEAF4	0.297979797979798	0.556818181818182	( 0.6 ,  1.25 )	px=-1; pz=2.7	16	0.247474747474747	0.348484848484849	0.5	0.613636363636364	#EAEAF4	0
#F9F9FC	0.297979797979798	0.670454545454545	( 0.46 ,  1.77 )	px=-1; pz=3.2	16	0.247474747474747	0.348484848484849	0.613636363636364	0.727272727272727	#F9F9FC	0
#FBFBFD	0.297979797979798	0.784090909090909	( 0 ,  19.25 )	px=-1; pz=3.7	16	0.247474747474747	0.348484848484849	0.727272727272727	0.840909090909091	#FBFBFD	0
#FFFFFF	0.297979797979798	0.897727272727273	( 0 ,  Inf )	px=-1; pz=4.2	16	0.247474747474747	0.348484848484849	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.398989898989899	0.102272727272727	( 0 ,  Inf )	px=-0.5; pz=0.7	16	0.348484848484849	0.44949494949495	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FDFCFC	0.398989898989899	0.215909090909091	( 0.17 ,  Inf )	px=-0.5; pz=1.2	16	0.348484848484849	0.44949494949495	0.159090909090909	0.272727272727273	#FDFCFC	0
#913D3D	0.398989898989899	0.329545454545455	( 2.29 ,  4.21 )	px=-0.5; pz=1.7	16	0.348484848484849	0.44949494949495	0.272727272727273	0.386363636363636	#913D3D	0
#F4EBEB	0.398989898989899	0.443181818181818	( 1.01 ,  1.1 )	px=-0.5; pz=2.2	16	0.348484848484849	0.44949494949495	0.386363636363636	0.5	#F4EBEB	0
#FCF9F9	0.398989898989899	0.556818181818182	( 0.99 ,  1.04 )	px=-0.5; pz=2.7	16	0.348484848484849	0.44949494949495	0.5	0.613636363636364	#FCF9F9	0
#F5EDED	0.398989898989899	0.670454545454545	( 0.94 ,  1.2 )	px=-0.5; pz=3.2	16	0.348484848484849	0.44949494949495	0.613636363636364	0.727272727272727	#F5EDED	0
#F5F5FA	0.398989898989899	0.784090909090909	( 0.04 ,  1.7 )	px=-0.5; pz=3.7	16	0.348484848484849	0.44949494949495	0.727272727272727	0.840909090909091	#F5F5FA	0
#FFFFFF	0.398989898989899	0.897727272727273	( 0 ,  Inf )	px=-0.5; pz=4.2	16	0.348484848484849	0.44949494949495	0.840909090909091	0.954545454545454	#FFFFFF	0
